gene_id	gene_name	length	Calu3_polyA_series1-S2-24h-A	Calu3_polyA_series1-S2-24h-B	RPKM_1	RPKM_2	Expr
ENSG00000147655.11	RSPO2	4109	4	5	0.218424689	0.197154546	0.207789617
ENSG00000147669.11	POLR2K	1673	156	234	20.92216073	22.66171888	21.79193981
ENSG00000147676.14	MAL2	3438	2194	3045	143.1886609	143.5008112	143.344736
ENSG00000147677.11	EIF3H	6434	584	775	20.3661842	19.51612438	19.94115429
ENSG00000147679.12	UTP23	5244	89	116	3.808072432	3.584001953	3.696037193
ENSG00000147684.9	NDUFB9	4106	464	718	25.35577634	28.33207812	26.84392723
ENSG00000147687.19	TATDN1	4778	175	227	8.218068937	7.697552209	7.957810573
ENSG00000147689.16	FAM83A	6317	1	4	0.035519513	0.10259402	0.069056766
ENSG00000147697.9	GSDMC	2670	12	13	1.008434886	0.78886924	0.898652063
ENSG00000147724.12	FAM135B	14064	0	0	0	0	0
ENSG00000147789.15	ZNF7	10296	240	336	5.230227557	5.287418362	5.25882296
ENSG00000147799.11	ARHGAP39	4888	147	191	6.747828159	6.331040642	6.5394344
ENSG00000147804.9	SLC39A4	5033	15	15	0.668716756	0.482877823	0.575797289
ENSG00000147813.16	NAPRT	2837	457	624	36.14387745	35.63675779	35.89031762
ENSG00000147852.16	VLDLR	9389	195	296	4.660077604	5.10793431	4.884005957
ENSG00000147853.17	AK3	4395	228	307	11.64002316	11.31755015	11.47878665
ENSG00000147854.17	UHRF2	9919	378	533	8.550702299	8.706272381	8.62848734
ENSG00000147862.17	NFIB	12765	339	432	5.958771828	5.483222373	5.7209971
ENSG00000147872.10	PLIN2	5011	2	0	0.089553687	0	0.044776843
ENSG00000147873.5	IFNA5	987	0	1	0	0.164155629	0.082077814
ENSG00000147874.11	HAUS6	7719	198	331	5.755486321	6.947681232	6.351583777
ENSG00000147883.11	CDKN2B	4000	497	580	27.8788127	23.4931328	25.68597275
ENSG00000147885.4	IFNA16	939	3	3	0.716858665	0.517640912	0.617249789
ENSG00000147889.17	CDKN2A	4329	1616	2119	83.75903158	79.30787298	81.53345228
ENSG00000147894.15	C9orf72	6332	43	66	1.523720906	1.688791214	1.60625606
ENSG00000147905.17	ZCCHC7	3992	25	27	1.405165094	1.095837512	1.250501303
ENSG00000147912.13	FBXO10	6028	8	9.5	0.297779379	0.25534261	0.276560995
ENSG00000147955.17	SIGMAR1	2196	453	787	46.28537034	58.06512001	52.17524518
ENSG00000147996.16	CBWD5	12708	14	23	0.247188753	0.293240237	0.270214495
ENSG00000148019.13	CEP78	14355	127	203	1.985081769	2.291214624	2.138148196
ENSG00000148053.16	NTRK2	20363	4	5	0.044075384	0.039783334	0.041929359
ENSG00000148057.16	IDNK	1814	6	11	0.742150261	0.982490441	0.862320351
ENSG00000148082.10	SHC3	9980	62	76.5	1.393923773	1.241949181	1.317936477
ENSG00000148090.11	AUH	2258	33	40	3.279199802	2.870179017	3.07468941
ENSG00000148110.15	MFSD14B	3428	345	453	22.58167531	21.41067308	21.99617419
ENSG00000148120.16	C9orf3	10742	197	253.5	4.114896868	3.823540961	3.969218914
ENSG00000148123.15	PLPPR1	3651	0	0	0	0	0
ENSG00000148143.13	ZNF462	12190	593	711	10.91512879	9.45015271	10.18264075
ENSG00000148153.14	INIP	4336	128	187	6.623668256	6.987555405	6.80561183
ENSG00000148154.10	UGCG	4567	911.5	1169.5	44.78200542	41.48987687	43.13594114
ENSG00000148156.7	ACTL7B	2379	0	0	0	0	0
ENSG00000148158.17	SNX30	11656	44	76	0.846995327	1.056420901	0.951708114
ENSG00000148175.12	STOM	3198	81	90	5.683088723	4.559707473	5.121398098
ENSG00000148180.19	GSN	11018	486	649	9.897177929	9.543657832	9.72041788
ENSG00000148187.18	MRRF	11035	189	236	3.84297309	3.465074663	3.654023877
ENSG00000148200.17	NR6A1	7125	64	70	2.015454425	1.591791212	1.803622819
ENSG00000148204.12	CRB2	6349	0	0	0	0	0
ENSG00000148218.16	ALAD	4945	82	144	3.720706673	4.718121577	4.219414125
ENSG00000148219.16	ASTN2	8290	2	7	0.054131909	0.136809558	0.095470734
ENSG00000148225.16	WDR31	4933	3	11	0.136454548	0.361288802	0.248871675
ENSG00000148229.13	POLE3	2607	329	484	28.31605476	30.07996052	29.19800764
ENSG00000148248.14	SURF4	3445	863	1195	56.20817003	56.20197928	56.20507466
ENSG00000148288.13	GBGT1	4020	1	1	0.055815115	0.040303882	0.048059498
ENSG00000148290.10	SURF1	1758	85	142	10.84870579	13.08706939	11.96788759
ENSG00000148291.10	SURF2	999	58	69	13.02687909	11.19068146	12.10878027
ENSG00000148296.7	SURF6	4414	293	349	14.89406237	12.81049849	13.85228043
ENSG00000148297.15	MED22	7224	148	234	4.596866113	5.248208153	4.922537133
ENSG00000148300.12	REXO4	2654	193	270	16.31677283	16.48298172	16.39987728
ENSG00000148303.17	RPL7A	2238	1387	1805	139.0574482	130.6742618	134.865855
ENSG00000148308.17	GTF3C5	3592	237	342	14.80436877	15.42633327	15.11535102
ENSG00000148331.12	ASB6	4622	122	166	5.922536778	5.81903646	5.870786619
ENSG00000148334.15	PTGES2	2655	343	495	28.98728039	30.20741798	29.59734918
ENSG00000148335.14	NTMT1	3029	145.5	209	10.77808481	11.17943729	10.97876105
ENSG00000148337.21	CIZ1	8690	311	382	8.030054435	7.122238586	7.57614651
ENSG00000148339.12	SLC25A25	4936	227	271	10.31878546	8.895432556	9.607109007
ENSG00000148341.17	SH3GLB2	6814	182	244	5.993039436	5.80177161	5.897405523
ENSG00000148343.18	MIGA2	6302	120	152	4.272486744	3.907852117	4.090169431
ENSG00000148344.11	PTGES	1891	6	6	0.711930499	0.514082302	0.6130064
ENSG00000148346.12	LCN2	1596	1068	1452.5	150.1468559	147.4538735	148.8003647
ENSG00000148356.13	LRSAM1	4365	68	97	3.495445551	3.600480123	3.547962837
ENSG00000148357.16	HMCN2	20363	1	0	0.011018846	0	0.005509423
ENSG00000148358.19	GPR107	9139	275	405	6.751680665	7.180079904	6.965880285
ENSG00000148362.11	PAXX	1363	73	104.5	12.01724405	12.42205266	12.21964836
ENSG00000148377.6	IDI2	1356	0	0	0	0	0
ENSG00000148384.13	INPP5E	6512	53	87	1.826162223	2.164600688	1.995381456
ENSG00000148386.9	LCN9	1105	0	0	0	0	0
ENSG00000148396.18	SEC16A	9975	502	676	11.29194332	10.98011081	11.13602707
ENSG00000148399.13	DPH7	4925	103	121	4.692549544	3.980632339	4.336590942
ENSG00000148400.11	NOTCH1	10639	77.5	106	1.634476837	1.614276735	1.624376786
ENSG00000148408.13	CACNA1B	9904	0	0	0	0	0
ENSG00000148411.8	NACC2	7216	165	228	5.130566209	5.119307935	5.124937072
ENSG00000148426.13	PROSER2	3663	117	148	7.166825328	6.546327496	6.856576412
ENSG00000148429.14	USP6NL	14202	327	392	5.16625836	4.47207924	4.8191688
ENSG00000148444.16	COMMD3	2903	75	90.5	5.796850556	5.050966345	5.423908451
ENSG00000148450.13	MSRB2	1979	26	45	2.947850337	3.684169908	3.316010123
ENSG00000148459.16	PDSS1	1913	61	66	7.154721638	5.589872433	6.372297036
ENSG00000148468.17	FAM171A1	4182	4	2	0.21461192	0.077485225	0.146048572
ENSG00000148481.14	MINDY3	4081	92	136	5.058236246	5.399396803	5.228816525
ENSG00000148482.12	SLC39A12	2808	0	0	0	0	0
ENSG00000148483.9	TMEM236	5515	10	10	0.406848164	0.29378351	0.350315837
ENSG00000148484.18	RSU1	4126	175	285	9.516707073	11.19150693	10.354107
ENSG00000148488.17	ST8SIA6	7063	2	1	0.063535824	0.022939488	0.043237656
ENSG00000148498.16	PARD3	6513	434	646	14.95156069	16.07031432	15.51093751
ENSG00000148513.17	ANKRD30A	5015	0	0	0	0	0
ENSG00000148516.21	ZEB1	8650	60	77	1.556370605	1.442273252	1.499321928
ENSG00000148541.12	FAM13C	6753	0	0	0	0	0
ENSG00000148572.16	NRBF2	1901	209	267	24.66846044	22.75632229	23.71239137
ENSG00000148584.15	A1CF	9603	0	2	0	0.033743956	0.016871978
ENSG00000148600.15	CDHR1	7729	0	0	0	0	0
ENSG00000148602.5	LRIT1	2228	0	0	0	0	0
ENSG00000148604.14	RGR	4942	0	0	0	0	0
ENSG00000148606.13	POLR3A	8887	347	467	8.76096956	8.51401933	8.637494445
ENSG00000148634.15	HERC4	15847	451	611	6.385683079	6.24693639	6.316309734
ENSG00000148655.15	LRMDA	6390	5	8	0.175568672	0.202843951	0.189206311
ENSG00000148660.20	CAMK2G	6780	269	440	8.902263868	10.51467647	9.708470167
ENSG00000148671.13	ADIRF	998	0	1	0	0.162346298	0.081173149
ENSG00000148672.9	GLUD1	3780	238	315	14.12742577	13.50180046	13.81461311
ENSG00000148677.6	ANKRD1	1979	84	112	9.523824166	9.16948955	9.346656858
ENSG00000148680.16	HTR7	3472	0	1	0	0.046665209	0.023332604
ENSG00000148688.13	RPP30	4653	97	146	4.677529751	5.083850077	4.880689914
ENSG00000148690.12	FRA10AC1	8162	46	85	1.264559062	1.687311501	1.475935281
ENSG00000148700.14	ADD3	6541	288	449	9.879300949	11.12180108	10.50055102
ENSG00000148702.15	HABP2	3630	1	4	0.06181178	0.178536204	0.120173992
ENSG00000148704.12	VAX1	5788	0	0	0	0	0
ENSG00000148719.15	DNAJB12	5568	334	434	13.45938193	12.62883922	13.04411058
ENSG00000148730.7	EIF4EBP2	7491	652	891	19.52925497	19.27129229	19.40027363
ENSG00000148734.7	NPFFR1	8921	2	2	0.050303052	0.036323642	0.043313347
ENSG00000148735.15	PLEKHS1	5594	6	14	0.240661525	0.405488466	0.323074996
ENSG00000148737.17	TCF7L2	6739	173	229	5.76008011	5.505705248	5.632892679
ENSG00000148773.14	MKI67	12845	1175	1848	20.52492764	23.30992036	21.917424
ENSG00000148795.7	CYP17A1	3384	0	0	0	0	0
ENSG00000148798.11	INA	3251	10	13	0.690177675	0.647887072	0.669032374
ENSG00000148803.12	FUOM	1270	35	55	6.183611556	7.016683704	6.60014763
ENSG00000148814.18	LRRC27	11500	10	21	0.195110228	0.295865541	0.245487884
ENSG00000148824.19	MTG1	5308	69.5	96.5	2.937864539	2.945569882	2.94171721
ENSG00000148826.9	NKX6-2	2770	0	0	0	0	0
ENSG00000148832.16	PAOX	2250	10	12.5	0.997230054	0.900120031	0.948675042
ENSG00000148834.13	GSTO1	1691	237	316	31.44724579	30.27724858	30.86224719
ENSG00000148835.11	TAF5	3259	33	41	2.271995444	2.03832029	2.155157867
ENSG00000148840.11	PPRC1	6097	372	572	13.69003699	15.2003212	14.4451791
ENSG00000148841.17	ITPRIP	7296	14	22	0.430547515	0.48855199	0.459549753
ENSG00000148842.18	CNNM2	16324	30	51	0.412356216	0.50619345	0.459274833
ENSG00000148843.15	PDCD11	7672	353	507	10.32390473	10.70711079	10.51550776
ENSG00000148848.14	ADAM12	9860	0	1	0	0.016432212	0.008216106
ENSG00000148908.15	RGS10	1274	24	23	4.226877781	2.925036835	3.575957308
ENSG00000148925.10	BTBD10	3495	248	341	15.92144121	15.80811659	15.8647789
ENSG00000148926.10	ADM	2325	125	149	12.06326678	10.3833201	11.22329344
ENSG00000148935.11	GAS2	4252	6	11	0.316618197	0.419152789	0.367885493
ENSG00000148942.15	SLC5A12	7571	0	1	0	0.021400291	0.010700146
ENSG00000148943.12	LIN7C	4842	384	466	17.79443963	15.59315741	16.69379852
ENSG00000148948.8	LRRC4C	5356	2	3	0.083785199	0.090751459	0.087268329
ENSG00000148950.11	IMMP1L	3901	46	53	2.645816729	2.201267648	2.423542188
ENSG00000148965.10	SAA4	630	4	7.5	1.424614363	1.928828637	1.6767215
ENSG00000148985.19	PGAP2	3781	188	214	11.15652772	9.170225756	10.16337674
ENSG00000149016.15	TUT1	4082	126.5	160	6.953370999	6.350675376	6.652023187
ENSG00000149021.7	SCGB1A1	584	0	0	0	0	0
ENSG00000149043.16	SYT8	4704	1	3	0.047699142	0.103330106	0.075514624
ENSG00000149050.10	ZNF214	5160	18	21	0.782709636	0.659390255	0.721049945
ENSG00000149054.16	ZNF215	5968	6	11	0.225579855	0.298632316	0.262106085
ENSG00000149084.13	HSD17B12	7716	397	566	11.54452755	11.88494411	11.71473583
ENSG00000149089.13	APIP	5217	157	248	6.752377164	7.702004633	7.227190898
ENSG00000149090.11	PAMR1	3863	0	0	0	0	0
ENSG00000149091.15	DGKZ	10787	239	340	4.971358688	5.106827281	5.039092984
ENSG00000149100.13	EIF3M	7430	1100	1522	33.21863236	33.18935177	33.20399206
ENSG00000149115.14	TNKS1BP1	7149	973	1235	30.53833957	27.98946466	29.26390211
ENSG00000149124.11	GLYAT	3115	0	0	0	0	0
ENSG00000149131.15	SERPING1	3603	409	551	25.47046787	24.7776588	25.12406333
ENSG00000149133.1	OR5F1	945	0	0	0	0	0
ENSG00000149136.9	SSRP1	6337	1550	2237	54.88148673	57.19462389	56.03805531
ENSG00000149150.9	SLC43A1	3526	56	96	3.563556064	4.411251881	3.987403972
ENSG00000149177.13	PTPRJ	9620	484	643	11.28881007	10.82951064	11.05916036
ENSG00000149179.13	C11orf49	6693	72	98	2.413734779	2.372346831	2.393040805
ENSG00000149182.15	ARFGAP2	5918	597	778.5	22.63483052	21.31358903	21.97420978
ENSG00000149187.18	CELF1	10452	1034	1354	22.19724188	20.98902161	21.59313174
ENSG00000149196.16	HIKESHI	3433	104	138	6.797315254	6.512957053	6.655136154
ENSG00000149201.10	CCDC81	4544	2	3	0.098757378	0.10696849	0.102862934
ENSG00000149212.11	SESN3	10573	49	74	1.03986204	1.133982674	1.086922357
ENSG00000149218.5	ENDOD1	4651	843	1192	40.66858966	41.52435042	41.09647004
ENSG00000149231.14	CCDC82	17313	261	352	3.382564254	3.294149203	3.338356728
ENSG00000149243.15	KLHL35	5041	3	4	0.133531102	0.128563067	0.131047085
ENSG00000149256.15	TENM4	16330	1	1	0.013740157	0.009921715	0.011830936
ENSG00000149257.14	SERPINH1	6281	750	1053	26.79232155	27.16267324	26.97749739
ENSG00000149260.17	CAPN5	6137	74	117	2.705536973	3.088891616	2.897214294
ENSG00000149262.17	INTS4	6067	114	185	4.216078933	4.940497284	4.578288109
ENSG00000149269.9	PAK1	6299	325	486	11.57682929	12.50079382	12.03881156
ENSG00000149273.15	RPS3	5859	2675.5	3795.5	102.4611755	104.9586967	103.7099361
ENSG00000149289.11	ZC3H12C	9688	270	317	6.253274751	5.301491428	5.77738309
ENSG00000149292.16	TTC12	5302	36	56	1.52349367	1.711280632	1.617387151
ENSG00000149294.16	NCAM1	12737	222	314	3.910782854	3.994251718	3.952517286
ENSG00000149295.14	DRD2	4117	0	2	0	0.078708577	0.039354288
ENSG00000149300.10	C11orf52	1799	10.5	21.5	1.309591997	1.936333807	1.622962902
ENSG00000149305.7	HTR3B	4827	2	2	0.092967376	0.067131388	0.080049382
ENSG00000149308.17	NPAT	7530	195	289	5.810553602	6.218359097	6.01445635
ENSG00000149311.18	ATM	23972	243	326	2.274468263	2.203364067	2.238916165
ENSG00000149313.11	AASDHPPT	6003	229	355	8.559433373	9.581487583	9.070460478
ENSG00000149328.14	GLB1L2	7280	198.5	256.5	6.117965288	5.708590909	5.913278098
ENSG00000149346.15	SLX4IP	6486	35	68	1.210790422	1.698653897	1.454722159
ENSG00000149357.10	LAMTOR1	2688	254	356	21.20226845	21.45821859	21.33024352
ENSG00000149380.12	P4HA3	3990	0	1	0	0.040606919	0.020303459
ENSG00000149403.12	GRIK4	7518	0	0	0	0	0
ENSG00000149418.11	ST14	4116	2331	3291	127.0705133	129.5464295	128.3084714
ENSG00000149428.19	HYOU1	7723	1735	2511	50.40705456	52.67852538	51.54278997
ENSG00000149435.12	GGTLC1	1279	0	0	0	0	0
ENSG00000149443.7	C20orf78	738	0	0	0	0	0
ENSG00000149451.17	ADAM33	5834	0	1	0	0.027771958	0.013885979
ENSG00000149452.16	SLC22A8	8533	0	0	0	0	0
ENSG00000149474.13	KAT14	4251	25.5	27	1.34594388	1.029071595	1.187507738
ENSG00000149476.15	TKFC	8136	125	159	3.447283097	3.166351435	3.306817266
ENSG00000149480.7	MTA2	4261	707	1061	37.22937594	40.34379804	38.78658699
ENSG00000149483.12	TMEM138	6005	149	173	5.567383441	4.667733182	5.117558312
ENSG00000149485.18	FADS1	10230	235	412	5.154304899	6.525210311	5.839757605
ENSG00000149488.13	TMC2	5176	0	0	0	0	0
ENSG00000149489.8	ROM1	2495	3	7	0.269791698	0.454569635	0.362180666
ENSG00000149499.11	EML3	5490	174	239	7.111394649	7.053399585	7.082397117
ENSG00000149503.13	INCENP	4454	391	573	19.69719668	20.84382128	20.27050898
ENSG00000149506.11	ZP1	2436	0	0	0	0	0
ENSG00000149507.7	OOSP2	1763	0	0	0	0	0
ENSG00000149516.14	MS4A3	2082	0	0	0	0	0
ENSG00000149527.18	PLCH2	10809	1	2	0.020758328	0.029979019	0.025368673
ENSG00000149531.15	FRG1BP	761	13	20	3.832980169	4.258123667	4.045551918
ENSG00000149532.15	CPSF7	6036	738	940	27.43373931	25.23199291	26.33286611
ENSG00000149534.9	MS4A2	4454	3	1	0.151129386	0.036376651	0.093753019
ENSG00000149541.10	B3GAT3	2407	84	149	7.830348161	10.02958838	8.929968269
ENSG00000149547.15	EI24	3491	604	814	38.82084341	37.77874159	38.2997925
ENSG00000149548.15	CCDC15	4823	12	21	0.558266877	0.705464175	0.631865526
ENSG00000149554.12	CHEK1	6558	253	377	8.656194089	9.314142312	8.9851682
ENSG00000149557.13	FEZ1	9324	5	11	0.120322159	0.19114518	0.15573367
ENSG00000149564.12	ESAM	2920	15	17	1.152620354	0.943276471	1.047948412
ENSG00000149571.12	KIRREL3	6595	0	1	0	0.02456734	0.01228367
ENSG00000149573.9	MPZL2	4740	290	422	13.7276922	14.42470834	14.07620027
ENSG00000149575.5	SCN2B	5826	0	0	0	0	0
ENSG00000149577.15	SIDT2	9061	50	65	1.238145691	1.162278375	1.200212033
ENSG00000149582.16	TMEM25	5529	66	95.5	2.67839868	2.798528365	2.738463523
ENSG00000149591.16	TAGLN	3917	32	39	1.833049883	1.613184227	1.723117055
ENSG00000149596.6	JPH2	5943	1	0	0.037754798	0	0.018877399
ENSG00000149599.15	DUSP15	3791	17	12	1.006173821	0.512861848	0.759517835
ENSG00000149600.11	COMMD7	2584	114.5	178.5	9.942391358	11.19228196	10.56733666
ENSG00000149609.6	C20orf144	2399	2	1	0.187058576	0.067537143	0.12729786
ENSG00000149633.12	KIAA1755	8068	3	0	0.083432113	0	0.041716056
ENSG00000149634.4	SPATA25	757	3	7	0.889207776	1.498218281	1.193713029
ENSG00000149635.2	OCSTAMP	2043	0	0	0	0	0
ENSG00000149636.15	DSN1	2739	193	281	15.81041077	16.62215084	16.21628081
ENSG00000149639.15	SOGA1	14975	81	131	1.213657278	1.41735094	1.315504109
ENSG00000149646.12	CNBD2	5005	11	9	0.493135741	0.291347542	0.392241642
ENSG00000149654.9	CDH22	4929	0	0	0	0	0
ENSG00000149656.8	LINC00266-1	1438	0	0	0	0	0
ENSG00000149657.20	LSM14B	3377	280	415	18.60393646	19.91085765	19.25739705
ENSG00000149658.18	YTHDF1	3206	710	982	49.69042456	49.62732895	49.65887676
ENSG00000149679.11	CABLES2	3785	73	135	4.327477844	5.778841941	5.053159892
ENSG00000149716.12	LTO1	7872	136	185	3.876427802	3.807672386	3.842050094
ENSG00000149735.7	GPHA2	931	0	0	0	0	0
ENSG00000149742.9	SLC22A9	2362	0	0	0	0	0
ENSG00000149743.14	TRPT1	2210	96	177	9.746682882	12.97639103	11.36153696
ENSG00000149761.8	NUDT22	3721	127	185.5	7.658115775	8.077131907	7.867623841
ENSG00000149781.12	FERMT3	3066	32	39	2.34183183	2.060940188	2.201386009
ENSG00000149782.11	PLCB3	4964	312	452	14.10264903	14.75297456	14.4278118
ENSG00000149792.8	MRPL49	3080	564	756	41.08717334	39.76893954	40.42805644
ENSG00000149798.5	CDC42EP2	2164	140.33	160.5	14.55027312	12.01685198	13.28356255
ENSG00000149806.11	FAU	1548	1069	1393.5	154.9475186	145.8508445	150.3991816
ENSG00000149809.14	TM7SF2	3408	70	91	4.608677627	4.326281134	4.46747938
ENSG00000149823.9	VPS51	4880	355	487	16.32248987	16.1689594	16.24572464
ENSG00000149922.10	TBX6	3137	4	7	0.286103618	0.361540082	0.32382185
ENSG00000149923.14	PPP4C	2733	755	970	61.98479892	57.50492403	59.74486147
ENSG00000149925.19	ALDOA	3916	1498.5	2143	85.86020892	88.66504102	87.26262497
ENSG00000149926.13	FAM57B	4920	1	3	0.045605033	0.098793662	0.072199347
ENSG00000149927.18	DOC2A	6368	35	48	1.233226551	1.221268383	1.227247467
ENSG00000149929.15	HIRIP3	3931	169	251	9.646317174	10.34531239	9.99581478
ENSG00000149930.18	TAOK2	8831	519	627.5	13.18667643	11.5126891	12.34968277
ENSG00000149932.17	TMEM219	2377	222	293	20.95567573	19.97153152	20.46360362
ENSG00000149948.13	HMGA2	15403	349	441	5.083911576	4.638805949	4.861358763
ENSG00000149968.12	MMP3	1854	0	0	0	0	0
ENSG00000149970.16	CNKSR2	31865	4	6	0.02816592	0.030507756	0.029336838
ENSG00000149972.11	CNTN5	9107	0	0	0	0	0
ENSG00000150045.12	KLRF1	1260	0	0	0	0	0
ENSG00000150048.10	CLEC1A	3169	0	0	0	0	0
ENSG00000150051.14	MKX	4107	4	3	0.218531056	0.118350333	0.168440695
ENSG00000150054.18	MPP7	6167	11	15	0.400217996	0.394085306	0.397151651
ENSG00000150093.19	ITGB1	6012	3826.5	5629	142.8106588	151.6998698	147.2552643
ENSG00000150175.13	FRMPD2B	1347	1	0	0.166575176	0	0.083287588
ENSG00000150201.15	FXYD4	833	0	1	0	0.194503728	0.097251864
ENSG00000150244.11	TRIM48	1445	0	1	0	0.112125679	0.056062839
ENSG00000150261.4	OR8K1	1087	0	0	0	0	0
ENSG00000150275.18	PCDH15	15423	0	0	0	0	0
ENSG00000150276.8	PPIAP26	522	0	0	0	0	0
ENSG00000150281.6	CTF1	1664	2	1	0.269683608	0.097368753	0.183526181
ENSG00000150316.12	CWC15	2734	227	306	18.62967265	18.13409338	18.38188301
ENSG00000150337.13	FCGR1A	2998	0	0	0	0	0
ENSG00000150347.16	ARID5B	8760	352	377	9.016052544	6.972847635	7.99445009
ENSG00000150361.12	KLHL1	4149	1	0	0.054079721	0	0.02703986
ENSG00000150394.14	CDH8	13529	0	0	0	0	0
ENSG00000150401.15	DCUN1D2	4345	21	26	1.08444465	0.969519389	1.02698202
ENSG00000150403.18	TMCO3	10381	61	77	1.318464743	1.201778598	1.26012167
ENSG00000150433.9	TMEM218	5424	15	45	0.620510957	1.344205798	0.982358378
ENSG00000150455.13	TIRAP	3591	30	53	1.874492583	2.391296322	2.132894453
ENSG00000150456.10	EEF1AKMT1	1339	6	8	1.005422385	0.968015567	0.986718976
ENSG00000150457.9	LATS2	5613	211	248	8.434615504	7.158624296	7.7966199
ENSG00000150459.12	SAP18	3396	466	668	30.78903745	31.86997423	31.32950584
ENSG00000150471.16	ADGRL3	13991	2	13	0.032074442	0.150545413	0.091309928
ENSG00000150477.15	KIAA1328	11137	17	18	0.342498425	0.261864856	0.30218164
ENSG00000150510.16	FAM124A	6702	1	0	0.033479075	0	0.016739538
ENSG00000150527.17	MIA2	10539	278	413	5.918658306	6.349266826	6.133962566
ENSG00000150540.14	HNMT	4756	153	191	7.218175907	6.506754974	6.862465441
ENSG00000150551.10	LYPD1	2412	159	198	14.79100547	13.30028105	14.04564326
ENSG00000150556.17	LYPD6B	3539	0	0	0	0	0
ENSG00000150593.18	PDCD4	4547	33	49.5	1.62842163	1.763815587	1.696118609
ENSG00000150594.6	ADRA2A	3745	10	14	0.599136882	0.605688245	0.602412563
ENSG00000150625.16	GPM6A	7040	28	76	0.892407577	1.749096878	1.320752227
ENSG00000150627.15	WDR17	7808	23	38	0.660945893	0.788527281	0.724736587
ENSG00000150628.6	SPATA4	2464	0	0	0	0	0
ENSG00000150630.4	VEGFC	2615	15	14	1.287055997	0.867419685	1.077237841
ENSG00000150636.17	CCDC102B	5805	3	6	0.115956983	0.167464192	0.141710587
ENSG00000150637.9	CD226	13659	4	5	0.065708108	0.059309468	0.062508788
ENSG00000150656.15	CNDP1	7117	0	0	0	0	0
ENSG00000150667.8	FSIP1	3463	2.5	1	0.161981492	0.046786487	0.104383989
ENSG00000150672.17	DLG2	16709	1	4	0.013428497	0.038786667	0.026107582
ENSG00000150676.12	CCDC83	2359	1	0	0.095115202	0	0.047557601
ENSG00000150681.10	RGS18	2801	0	0	0	0	0
ENSG00000150687.12	PRSS23	11444	380	495	7.450469209	7.008099855	7.229284532
ENSG00000150712.11	MTMR12	5523	241	310	9.790838256	9.094096997	9.442467626
ENSG00000150722.10	PPP1R1C	4887	2	18	0.091825972	0.596764661	0.344295317
ENSG00000150732.8	AL136372.1	228	0	0	0	0	0
ENSG00000150750.7	C11orf53	1264	0	0	0	0	0
ENSG00000150753.12	CCT5	5638	2273	3317	90.4590955	95.32204071	92.89056811
ENSG00000150756.14	ATPSCKMT	3285	29	33	1.980799423	1.627614302	1.804206862
ENSG00000150760.12	DOCK1	8142	143	225	3.940785678	4.477384088	4.209084883
ENSG00000150764.13	DIXDC1	8509	13	18	0.342801494	0.342741673	0.342771583
ENSG00000150768.15	DLAT	4831	277	401	12.86532046	13.44869878	13.15700962
ENSG00000150773.10	PIH1D2	2474	8	15	0.725551373	0.982346032	0.853948703
ENSG00000150776.18	NKAPD1	5755	243	295	9.474118716	8.3051909	8.889654808
ENSG00000150779.11	TIMM8B	1166	117	150	22.51464938	20.84325972	21.67895455
ENSG00000150782.12	IL18	2605	305	376	26.2705998	23.38584402	24.82822191
ENSG00000150783.9	TEX12	1155	1	2.5	0.194265595	0.350696116	0.272480855
ENSG00000150787.8	PTS	3128	92	143	6.599316535	7.406997951	7.003157243
ENSG00000150867.14	PIP4K2A	5106	147	207	6.459730521	6.568443467	6.514086994
ENSG00000150873.11	C2orf50	2938	1	2	0.076370579	0.110293809	0.093332194
ENSG00000150893.11	FREM2	16275	242	391	3.336354928	3.892500631	3.614427779
ENSG00000150907.8	FOXO1	6276	213	253	7.615081317	6.531463703	7.07327251
ENSG00000150938.10	CRIM1	7270	548	723	16.91313146	16.11301524	16.51307335
ENSG00000150961.15	SEC24D	9920	215	278	4.863004422	4.540524832	4.701764627
ENSG00000150967.18	ABCB9	13291	78	116	1.316784851	1.414077665	1.365431258
ENSG00000150977.10	RILPL2	6141	48	64	1.753799802	1.688549545	1.721174673
ENSG00000150990.8	DHX37	6627	437.5	651	14.81286154	15.91611064	15.36448609
ENSG00000150991.15	UBC	3898	4338	5947	249.7040519	247.18894	248.446496
ENSG00000150995.19	ITPR1	32454	20	30	0.138273718	0.149770388	0.144022053
ENSG00000151005.4	TKTL2	2654	0	0	0	0	0
ENSG00000151006.7	PRSS53	5501	21	25	0.856555536	0.736327966	0.796441751
ENSG00000151012.13	SLC7A11	9645	592	842	13.7720107	14.14434338	13.95817704
ENSG00000151014.6	NOCT	2512	448	535	40.01623784	34.50699003	37.26161394
ENSG00000151023.17	ENKUR	4076	0	1	0	0.039750149	0.019875074
ENSG00000151025.11	GPR158	7989	2	2	0.056171426	0.040561173	0.0483663
ENSG00000151033.9	LYZL2	818	0	0	0	0	0
ENSG00000151062.15	CACNA2D4	7463	2	0	0.060130447	0	0.030065223
ENSG00000151065.14	DCP1B	4610	52	71	2.53093094	2.495343599	2.51313727
ENSG00000151067.21	CACNA1C	19103	1	0	0.01174563	0	0.005872815
ENSG00000151079.7	KCNA6	4237	0	0	0	0	0
ENSG00000151090.18	THRB	10968	48	67	0.981955196	0.989738108	0.985846652
